,name,discount_price,price,discount %,cpu,ram,storage,classification,brand_name
46,"Lenovo ThinkPad X1 2-In-1 G9 21KE002AUS - 14"" Touchscreen - Core Ultra 5 135U - 16GB Ram - 512GB SSD - Intel Graphics",950.0,1200.0,-21.0,Intel®,6,512.0,Mid End,lenovo
49,"Dell Latitude 7350 Detachable - 13.3"" Touchscreen - Core Ultra 7 164U - 32GB Ram - 256GB SSD - Intel Graphics",850.0,1050.0,-19.0,Intel®,3,256.0,Mid End,dell
50,"Asus Vivobook Pro 15 Q543B-U94060 - 15.6"" - Core Ultra 9 185H - 24GB Ram - 2TB SSD - RTX 4060 8GB",1599.0,1700.0,-6.0,Intel®,8,2000.0,Mid End,asus
51,"HP Envy 16-H1055- 16"" Touchscreen - Core I7-13700H - 32GB Ram - 2TB SSD - RTX 4060 8GB",1275.0,1450.0,-12.0,Intel®,3,2000.0,Mid End,hp
52,"HP Pro X360 435 G10 - A47K8U8#ABA - 13.3"" Touchscreen - Ryzen 7 7730U - 32GB Ram - 1TB SSD - AMD Radeon Graphics",770.0,930.0,-17.0,AMD,3,1000.0,Mid End,hp
53,"HP Pro X360 435 G10 - A33TXU8#ABA - 13.3"" Touchscreen - Ryzen 7 7730U - 32GB Ram - 512GB SSD - AMD Radeon Graphics",720.0,900.0,-20.0,AMD,3,512.0,Mid End,hp
54,"Lenovo IdeaPad Slim 5 83FW0001US - 16"" Touchscreen - Core™ 7 150U - 16GB Ram - 1TB SSD - Intel® Graphics",660.0,800.0,-18.0,Intel®,6,1000.0,Budget,lenovo
55,"Lenovo IdeaPad 5 2-In-1 83DR000GUS - 14"" Touchscreen - AMD Ryzen™ 7 8845HS - 16GB Ram - 1TB SSD - Integrated AMD Radeon™ 780M Graphics",699.0,730.0,-4.0,,6,1000.0,Budget,lenovo
57,"Hp Envy X360 14-ES1013DX - 14"" Touchscreen - Core 5-120U - 8GB Ram - 512GB SSD - Intel Graphics",650.0,900.0,-28.0,Intel®,8,512.0,Mid End,hp
59,"HP Pavilion 16-Af0945nr - 16"" - Core Ultra 7 155U - 16GB Ram - 512GB SSD - Intel Graphics",850.0,1000.0,-15.0,Intel®,6,512.0,Mid End,hp
60,"HP Envy X360 14-FA0013DX - 14"" Touchscreen - Ryzen 5 8640HS - 16GB Ram - 512GB SSD - AMD Radeon Graphics",650.0,750.0,-13.0,AMD,6,512.0,Budget,hp
61,"Lenovo ThinkBook 16 G7 IML 21MS0028GQ - 16"" - Core Ultra 5 125U - 8GB Ram - 512GB SSD - Intel Graphics",675.0,800.0,-16.0,Intel®,8,512.0,Budget,lenovo
62,"Lenovo ThinkBook 13x G4 - 13.5"" Touchscreen - Core Ultra 9 185H - 32GB Ram - 1TB SSD - Intel Arc Graphics",1499.0,1850.0,-19.0,Intel®,3,1000.0,Hight End,lenovo
63,"Lenovo ThinkBook 16 G6 21KH006SUS - 16"" Touchscreen - Core I7-1355U - 16GB Ram - 512GB SSD - Intel Iris Xe",690.0,800.0,-14.0,Intel®,8,512.0,Budget,lenovo
65,"Lenovo ThinkBook 14 G7 IML 21MR005SUS - 14"" Touchscreen - Core Ultra 7 155U - 16GB Ram - 512GB SSD - Intel Graphics",800.0,900.0,-11.0,Intel®,6,512.0,Mid End,lenovo
66,"MSI Summit 13 AI+ Evo A2VMTG - 13.3"" Touchscreen - Copilot+ PC - Core Ultra 7 258V - 32GB Ram - 1TB SSD - Intel Arc Graphics - Includes MSI Topload Bag",1640.0,1700.0,-4.0,Intel®,3,1000.0,Mid End,msi
67,"MSI Modern 15 H AI C1MG - 15.6"" - Core Ultra 7 155H - 16GB Ram - 1TB SSD - Intel Arc Graphics - Includes MSI Topload Bag",895.0,950.0,-6.0,Intel®,8,1000.0,Mid End,msi
69,"MSI Modern 14 H D13MG - 14"" - Core I7-13620H - 16GB Ram - 1TB SSD - Intel Iris Xe - Includes MSI Topload Bag",825.0,880.0,-6.0,13th,8,1000.0,Budget,msi
70,"MSI Modern 15 H B13M - 15.6"" - Core I3-1315U - 16GB Ram - 512GB SSD - Intel Iris Xe - Includes MSI Topload Bag",510.0,600.0,-15.0,Intel®,6,512.0,Budget,msi
71,"Lenovo IdeaPad Flex 5 82R8X026US - 16"" Touchscreen - Core I7-1255U - 8GB Ram - 512GB SSD - Intel Iris Xe",615.0,850.0,-28.0,12th,8,512.0,Budget,lenovo
