name,discount_price,price,description,discount %
"Lenovo IdeaPad 1 82VG00MYUS - 15.6"" Touchscreen - Ryzen 5 7520U - 8GB Ram - 256GB SSD - AMD Radeon 610M Graphics",$500.00,$550.00,"Specifications: Processor: AMD Ryzen™ 5 7520U (4C / 8T, 2.8 / 4.3GHz, 2MB L2 / 4MB L3).  Memory: 8GB Soldered LPDDR5-5500.  Storage: 256GB SSD M.2 2242 PCIe® 4.0x4 NVMe.  Display: 15.6"" FHD (1920x1080) IPS 300nits Anti-glare, Touch.   Graphics: Integrated AMD Radeon™ 610M Graphics.  ...",-9%
"HP Envy 17-CW1023CL - 17.3"" Touchscreen - Core Ultra 7 155U - 32GB Ram - 1TB SSD - RTX 3050 4GB","$1,350.00","$1,480.00","Specifications: Processor: Intel® Core™ Ultra 7 155U (up to 4.8 GHz, 12 MB L3 cache, 12 cores, 14 threads).  Memory: 32 GB DDR5-5600 MHz RAM (2 x 16 GB).  Storage: 1 TB PCIe® NVMe™ M.2 SSD.  Display: 17.3"" diagonal, FHD (1920 x 1080), multitouch-enabled,...",-9%
"Lenovo V15 G4 IRU 83A1004SED - 15.6"" - Core I3-1315U - 8GB Ram - 256GB SSD - Intel UHD Graphics",$380.00,$420.00,"Specifications: Processor: Intel® Core™ i3-1315U, 6C (2P + 4E) / 8T, P-core 1.2 / 4.5GHz, E-core 0.9 / 3.3GHz, 10MB Memory: 8GB Soldered DDR4-3200.  Storage: 256GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Display: 15.6"" FHD (1920x1080) TN 250nits Anti-glare, 45% NTSC.  Graphics: Integrated Intel®...",-10%
"MSI Modern 15 B12MO-1000US - 15.6"" - Core I7-1255U - 16GB Ram - 512GB SSD - Intel Iris Xe",$650.00,$750.00,"Specifications: Processor: Intel® Core™ i7-1255U, 10C (2P + 8E) / 12T, P-core 1.7 / 4.7GHz, E-core 1.2 / 3.5GHz, 12MB.  Memory: 16GB DDR4 3200MHz RAM.  Storage: 512GB SSD NVMe. Display: 15.6"" FHD 60Hz 45% NTSC IPS-Level (1920x1080) 16:9.  Graphics: Intel Iris Xe Graphics.  Ports 1x Type-C...",-13%
"MSI Modern 15 B12MO-1001US - 15.6"" - Core I5-1235U - 16GB Ram - 512GB SSD - Intel Iris Xe",$550.00,$650.00,"Specifications: Processor: 12th Gen Intel Core i5-1235U Processor (2.40 GHz, up to 4.20 GHz, 12M Cache).  Memory: 16GB DDR4 3200MHz RAM.  Storage: 512GB SSD NVMe. Display: 15.6"" FHD 60Hz 45% NTSC IPS-Level (1920x1080) 16:9.  Graphics: Intel Iris Xe Graphics.  Ports 1x Type-C (USB3.2 Gen2 / DP)...",-15%
"Lenovo ThinkPad X1 2-In-1 G9 21KE002AUS - 14"" Touchscreen - Core Ultra 5 135U - 16GB Ram - 512GB SSD - Intel Graphics",$950.00,"$1,200.00","Specifications: Processor: Intel® Core™ Ultra 5 135U Processor with vPro® (E-cores up to 3.60 GHz P-cores up to 4.40 GHz with Turbo Boost, 12 Cores, 14 Threads, 12 MB Cache).  Memory: 16 GB LPDDR5X-6400MHz (Soldered).  Storage: 512 GB SSD M.2 2280 PCIe Gen4 Performance TLC Opal. ...",-21%
"Dell Inspiron 14 Plus - Copilot+ PC - 14"" Touchscreen - Qualcomm Snapdragon® X Plus - 16GB Ram - 512GB SSD - Qualcomm® Adreno™ GPU",$899.00,"$1,135.00","Specifications: Processor: Snapdragon® X Plus, X1P-64-100, 10 cores up to 3.4GHz, NPU integrated. Memory: 16 GB, LPDDR5x, 8448 MT/s, onboard.  Storage: 512 GB, M.2, PCIe NVMe, SSD.  Display: 14.0"" QHD+, 16:10, 2560x1600, 400 nits, sRGB100%, WVA, IPS, AG, 60Hz, in cell Touch, No CG,...",-21%
"Dell Latitude 7455 Copilot+ PC - 14"" Touchscreen - Qualcomm Snapdragon X Plus - 16GB Ram - 512GB SSD - Integrated Qualcomm Adreno Graphics",$899.00,"$1,130.00","Specifications: Processor: Snapdragon® X Plus X1P-64-100 (10 cores up to 3.4GHz, NPU up to 45 TOPS).   Memory: 16 GB, LPDDR5x, 8448 MT/s, onboard.  Storage: 512 GB, M.2 2230, TLC PCIe Gen 4 NVMe, SSD.  Display: 14.0"" QHD+ (2560x1600), IPS, AG Touch, ComfortView+, SLP,...",-20%
"Dell Latitude 7350 Detachable - 13.3"" Touchscreen - Core Ultra 7 164U - 32GB Ram - 256GB SSD - Intel Graphics",$850.00,"$1,050.00","Specifications: Processor: Intel® Core™ Ultra 7 164U (12 MB cache, 12 cores, 14 threads, up to 4.8 GHz Turbo).   Memory: 32GB LPDDR5x 6400 MT/s dual-channel (onboard).  Storage: 256 GB, M.2 2230, TLC PCIe Gen 4 NVMe, SSD.  Display: 13"", 3K 2880x1920, IPS, Touch,...",-19%
"Asus Vivobook Pro 15 Q543B-U94060 - 15.6"" - Core Ultra 9 185H - 24GB Ram - 2TB SSD - RTX 4060 8GB","$1,599.00","$1,700.00","Specifications: Processor: Intel® Core™ Ultra 9 Processor 185H 2.3 GHz (24MB Cache, up to 5.1 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU Memory: 8GB DDR5 on board + 16GB DDR5 SO-DIMM Storage: 2TB M.2 NVMe™ PCIe® 4.0 SSD Display: 15.6-inch, 3K (2880 x...",-6%
